device_number,epoch_time_utc,active_seconds,device_coherence,significance
337,1775030879,3600,63.7572,Normal
337,1775030939,3600,82.2098,Normal
337,1775030999,3600,89.7736,Normal
337,1775031059,3600,89.19,Normal
337,1775031119,3600,67.6394,Normal
337,1775031179,3600,56.4364,Normal
337,1775031239,3600,22.656,Normal
337,1775031299,3600,11.9964,Normal
337,1775031359,3600,22.1948,Normal
337,1775031419,3600,64.6471,Normal
337,1775031479,3600,57.0779,Normal
337,1775031539,3600,63.094,Normal
337,1775031599,3600,24.9827,Normal
337,1775031659,3600,12.705,Normal
337,1775031719,3600,6.6411,Normal
337,1775031779,3600,15.6417,Normal
337,1775031839,3600,2.6587,Normal
337,1775031899,3600,33.4427,Normal
337,1775031959,3600,34.4126,Normal
337,1775032019,3600,24.7121,Normal
337,1775032079,3600,69.6599,Normal
337,1775032139,3600,102.7629,Normal
337,1775032199,3600,141.5076,Normal
337,1775032259,3600,125.2077,Normal
337,1775032319,3600,88.9175,Normal
337,1775032379,3600,66.7508,Normal
337,1775032439,3600,50.86,Normal
337,1775032499,3600,48.0614,Normal
337,1775032559,3600,88.4687,Normal
337,1775032619,3600,92.1881,Normal
337,1775032679,3600,91.5594,Normal
337,1775032739,3600,135.9861,Normal
337,1775032799,3600,185.7544,Normal
337,1775032859,3600,141.8834,Normal
337,1775032919,3600,143.5007,Normal
337,1775032979,3600,156.3165,Normal
337,1775033039,3600,193.2726,Normal
337,1775033099,3600,166.6057,Normal
337,1775033159,3600,202.1416,Normal
337,1775033219,3600,179.1858,Normal
337,1775033279,3600,121.7785,Normal
337,1775033339,3600,118.3276,Normal
337,1775033399,3600,118.8386,Normal
337,1775033459,3600,122.9617,Normal
337,1775033519,3600,97.4496,Normal
337,1775033579,3600,104.1031,Normal
337,1775033639,3600,49.4773,Normal
337,1775033699,3600,61.5718,Normal
337,1775033759,3600,41.9897,Normal
337,1775033819,3600,17.0733,Normal
337,1775033879,3600,50.6233,Normal
337,1775033939,3600,65.8118,Normal
337,1775033999,3600,71.6744,Normal
337,1775034059,3600,23.7071,Normal
337,1775034119,3600,19.2081,Normal
337,1775034179,3600,53.1598,Normal
337,1775034239,3600,7.2432,Normal
337,1775034299,3600,2.2424,Normal
337,1775034359,3600,42.7355,Normal
337,1775034419,3600,57.7809,Normal
337,1775034479,3600,62.4117,Normal
337,1775034539,3600,78.9877,Normal
337,1775034599,3600,66.1639,Normal
337,1775034659,3600,83.5766,Normal
337,1775034719,3600,75.8013,Normal
337,1775034779,3600,73.8744,Normal
337,1775034839,3600,11.3424,Normal
337,1775034899,3600,3.8954,Normal
337,1775034959,3600,14.642,Normal
337,1775035019,3600,12.0423,Normal
337,1775035079,3600,10.4887,Normal
337,1775035139,3600,15.9565,Normal
337,1775035199,3600,29.9532,Normal
337,1775035259,3600,18.3247,Normal
337,1775035319,3600,16.9213,Normal
337,1775035379,3600,52.3943,Normal
337,1775035439,3600,6.3799,Normal
337,1775035499,3600,70.1987,Normal
337,1775035559,3600,67.7308,Normal
337,1775035619,3600,63.648,Normal
337,1775035679,3600,83.6787,Normal
337,1775035739,3600,122.7603,Normal
337,1775035799,3600,131.2021,Normal
337,1775035859,3600,136.3425,Normal
337,1775035919,3600,160.7268,Normal
337,1775035979,3600,158.6,Normal
337,1775036039,3600,157.98,Normal
337,1775036099,3600,170.5141,Normal
337,1775036159,3600,195.6896,Normal
337,1775036219,3600,207.218,Normal
337,1775036279,3600,235.3394,Normal
337,1775036339,3600,221.5078,Normal
337,1775036399,3600,240.4033,Normal
337,1775036459,3600,226.412,Normal
337,1775036519,3600,235.8334,Normal
337,1775036579,3600,229.7849,Normal
337,1775036639,3600,288.6911,High
337,1775036699,3600,268.7081,Elevated
337,1775036759,3600,342.2715,High
337,1775036819,3600,359.4976,High
337,1775036879,3600,307.1516,High
337,1775036939,3600,254.7213,Elevated
337,1775036999,3600,225.1624,Normal
337,1775037059,3600,242.7444,Normal
337,1775037119,3600,236.1136,Normal
337,1775037179,3600,265.1006,Elevated
337,1775037239,3600,171.119,Normal
337,1775037299,3600,169.5147,Normal
337,1775037359,3600,134.6257,Normal
337,1775037419,3600,129.9768,Normal
337,1775037479,3600,139.7242,Normal
337,1775037539,3600,163.9387,Normal
337,1775037599,3600,190.8874,Normal
337,1775037659,3600,236.7691,Normal
337,1775037719,3600,227.9901,Normal
337,1775037779,3600,240.2194,Normal
337,1775037839,3600,219.3676,Normal
337,1775037899,3600,200.8232,Normal
337,1775037959,3600,147.3809,Normal
337,1775038019,3600,151.2368,Normal
337,1775038079,3600,118.7069,Normal
337,1775038139,3600,107.0114,Normal
337,1775038199,3600,152.0537,Normal
337,1775038259,3600,176.2826,Normal
337,1775038319,3600,125.1243,Normal
337,1775038379,3600,143.0277,Normal
337,1775038439,3600,203.5819,Normal
337,1775038499,3600,187.3819,Normal
337,1775038559,3600,159.808,Normal
337,1775038619,3600,202.5463,Normal
337,1775038679,3600,212.4816,Normal
337,1775038739,3600,212.588,Normal
337,1775038799,3600,200.6823,Normal
337,1775038859,3600,216.6251,Normal
337,1775038919,3600,207.4634,Normal
337,1775038979,3600,228.5759,Normal
337,1775039039,3600,198.0186,Normal
337,1775039099,3600,157.007,Normal
337,1775039159,3600,108.6474,Normal
337,1775039219,3600,126.7381,Normal
337,1775039279,3600,147.3753,Normal
337,1775039339,3600,100.5127,Normal
337,1775039399,3600,153.3083,Normal
337,1775039459,3600,156.3939,Normal
337,1775039519,3600,126.7092,Normal
337,1775039579,3600,112.5877,Normal
337,1775039639,3600,102.6898,Normal
337,1775039699,3600,101.1432,Normal
337,1775039759,3600,70.8944,Normal
337,1775039819,3600,62.2546,Normal
337,1775039879,3600,34.2482,Normal
337,1775039939,3600,75.9949,Normal
337,1775039999,3600,104.8709,Normal
337,1775040059,3600,109.9519,Normal
337,1775040119,3600,118.2662,Normal
337,1775040179,3600,111.4579,Normal
337,1775040239,3600,36.7505,Normal
337,1775040299,3600,43.069,Normal
337,1775040359,3600,23.2925,Normal
337,1775040419,3600,1.8372,Normal
337,1775040479,3600,2.0237,Normal
337,1775040539,3600,12.8484,Normal
337,1775040599,3600,18.1574,Normal
337,1775040659,3600,20.1755,Normal
337,1775040719,3600,29.8191,Normal
337,1775040779,3600,2.3628,Normal
337,1775040839,3600,34.2839,Normal
337,1775040899,3600,39.3171,Normal
337,1775040959,3600,62.1583,Normal
337,1775041019,3600,41.9358,Normal
337,1775041079,3600,68.3312,Normal
337,1775041139,3600,54.1512,Normal
337,1775041199,3600,35.1277,Normal
337,1775041259,3600,12.2379,Normal
337,1775041319,3600,4.2725,Normal
337,1775041379,3600,2.7253,Normal
337,1775041439,3600,24.2059,Normal
337,1775041499,3600,13.4453,Normal
337,1775041559,3600,71.1496,Normal
337,1775041619,3600,64.9762,Normal
337,1775041679,3600,110.0668,Normal
337,1775041739,3600,105.9596,Normal
337,1775041799,3600,106.8191,Normal
337,1775041859,3600,109.2645,Normal
337,1775041919,3600,104.7718,Normal
337,1775041979,3600,120.6432,Normal
337,1775042039,3600,93.8406,Normal
337,1775042099,3600,117.4348,Normal
337,1775042159,3600,171.0493,Normal
337,1775042219,3600,129.7376,Normal
337,1775042279,3600,110.6678,Normal
337,1775042339,3600,141.7506,Normal
337,1775042399,3600,124.7008,Normal
337,1775042459,3600,100.3402,Normal
337,1775042519,3600,78.6781,Normal
337,1775042579,3600,51.2811,Normal
337,1775042639,3600,0.3696,Normal
337,1775042699,3600,7.8138,Normal
337,1775042759,3600,5.1597,Normal
337,1775042819,3600,27.9983,Normal
337,1775042879,3600,27.5976,Normal
337,1775042939,3600,8.6374,Normal
337,1775042999,3600,56.7066,Normal
337,1775043059,3600,55.5079,Normal
337,1775043119,3600,41.2411,Normal
337,1775043179,3600,38.3022,Normal
337,1775043239,3600,0.2989,Normal
337,1775043299,3600,56.0709,Normal
337,1775043359,3600,71.4488,Normal
337,1775043419,3600,35.2666,Normal
337,1775043479,3600,31.9897,Normal
337,1775043539,3600,42.8661,Normal
337,1775043599,3600,26.4129,Normal
337,1775043659,3600,4.1545,Normal
337,1775043719,3600,10.6117,Normal
337,1775043779,3600,28.3558,Normal
337,1775043839,3600,67.8835,Normal
337,1775043899,3600,61.6718,Normal
337,1775043959,3600,41.481,Normal
337,1775044019,3600,38.285,Normal
337,1775044079,3600,66.3725,Normal
337,1775044139,3600,82.5655,Normal
337,1775044199,3600,186.2274,Normal
337,1775044259,3600,158.6319,Normal
337,1775044319,3600,119.9361,Normal
337,1775044379,3600,115.5336,Normal
337,1775044439,3600,124.9962,Normal
337,1775044499,3600,132.7401,Normal
337,1775044559,3600,121.4801,Normal
337,1775044619,3600,138.4049,Normal
337,1775044679,3600,102.7892,Normal
337,1775044739,3600,126.0555,Normal
337,1775044799,3600,80.5859,Normal
337,1775044859,3600,72.134,Normal
337,1775044919,3600,67.0124,Normal
337,1775044979,3600,39.1329,Normal
337,1775045039,3600,18.0439,Normal
337,1775045099,3600,47.0153,Normal
337,1775045159,3600,32.2309,Normal
